colour	x	y	key	label	clickSelects	showSelected1	showSelected2	PANEL	group
#A58AFF	1959.5	31.1320975609756	Afghanistan	Afghanistan	Afghanistan	Afghanistan	South Asia	4	1
#C49A00	1959.5	62.2543658536585	Albania	Albania	Albania	Albania	Europe & Central Asia	4	2
#00C094	1959.5	46.9853902439025	Algeria	Algeria	Algeria	Algeria	Middle East & North Africa	4	3
#FB61D7	1959.5	32.9853414634146	Angola	Angola	Angola	Angola	Sub-Saharan Africa	4	4
#53B400	1959.5	72.2480487804878	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean	4	5
#53B400	1959.5	65.1751463414634	Argentina	Argentina	Argentina	Argentina	Latin America & Caribbean	4	6
#C49A00	1959.5	65.8539512195122	Armenia	Armenia	Armenia	Armenia	Europe & Central Asia	4	7
#53B400	1959.5	65.5693658536586	Aruba	Aruba	Aruba	Aruba	Latin America & Caribbean	4	8
#F8766D	1959.5	70.8170731708781	Australia	Australia	Australia	Australia	East Asia & Pacific	4	9
#C49A00	1959.5	68.5856097560976	Austria	Austria	Austria	Austria	Europe & Central Asia	4	10
#C49A00	1959.5	60.836243902439	Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan	Europe & Central Asia	4	11
#53B400	1959.5	63.2249268292683	Bahamas, The	Bahamas, The	Bahamas, The	Bahamas, The	Latin America & Caribbean	4	12
#00C094	1959.5	51.7798048780488	Bahrain	Bahrain	Bahrain	Bahrain	Middle East & North Africa	4	13
#A58AFF	1959.5	47.7585365853659	Bangladesh	Bangladesh	Bangladesh	Bangladesh	South Asia	4	14
#53B400	1959.5	64.4752682926829	Barbados	Barbados	Barbados	Barbados	Latin America & Caribbean	4	15
#C49A00	1959.5	68.2738780487805	Belarus	Belarus	Belarus	Belarus	Europe & Central Asia	4	16
#C49A00	1959.5	69.7019512195122	Belgium	Belgium	Belgium	Belgium	Europe & Central Asia	4	17
#53B400	1959.5	60.8958536585366	Belize	Belize	Belize	Belize	Latin America & Caribbean	4	18
#FB61D7	1959.5	35.5763414634146	Benin	Benin	Benin	Benin	Sub-Saharan Africa	4	19
#00B6EB	1959.5	77.8648780487805	Bermuda	Bermuda	Bermuda	Bermuda	North America	4	20
#A58AFF	1959.5	37.0762682926829	Bhutan	Bhutan	Bhutan	Bhutan	South Asia	4	21
#53B400	1959.5	42.6520487804878	Bolivia	Bolivia	Bolivia	Bolivia	Latin America & Caribbean	4	22
#C49A00	1959.5	60.2073658536586	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	4	23
#FB61D7	1959.5	50.537243902439	Botswana	Botswana	Botswana	Botswana	Sub-Saharan Africa	4	24
#53B400	1959.5	54.4922195121951	Brazil	Brazil	Brazil	Brazil	Latin America & Caribbean	4	25
#F8766D	1959.5	62.3364634146342	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	4	26
#C49A00	1959.5	69.2475609756098	Bulgaria	Bulgaria	Bulgaria	Bulgaria	Europe & Central Asia	4	27
#FB61D7	1959.5	35.8631463414634	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Sub-Saharan Africa	4	28
