colour	x	y	key	label	clickSelects	showSelected1	showSelected2	PANEL	group
#A58AFF	7.7	1959.5	Afghanistan	Afghanistan	Afghanistan	Afghanistan	South Asia	1	1
#C49A00	5.951	1959.5	Albania	Albania	Albania	Albania	Europe & Central Asia	1	2
#00C094	7.329	1959.5	Algeria	Algeria	Algeria	Algeria	Middle East & North Africa	1	3
#FB61D7	7.316	1959.5	Angola	Angola	Angola	Angola	Sub-Saharan Africa	1	4
#53B400	2	1959.5	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean	1	5
#53B400	3.109	1959.5	Argentina	Argentina	Argentina	Argentina	Latin America & Caribbean	1	6
#C49A00	4.55	1959.5	Armenia	Armenia	Armenia	Armenia	Europe & Central Asia	1	7
#53B400	4.82	1959.5	Aruba	Aruba	Aruba	Aruba	Latin America & Caribbean	1	8
#F8766D	3.453	1959.5	Australia	Australia	Australia	Australia	East Asia & Pacific	1	9
#C49A00	2.69	1959.5	Austria	Austria	Austria	Austria	Europe & Central Asia	1	10
#C49A00	5.571	1959.5	Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan	Europe & Central Asia	1	11
#53B400	4.495	1959.5	Bahamas, The	Bahamas, The	Bahamas, The	Bahamas, The	Latin America & Caribbean	1	12
#00C094	7.09	1959.5	Bahrain	Bahrain	Bahrain	Bahrain	Middle East & North Africa	1	13
#A58AFF	6.724	1959.5	Bangladesh	Bangladesh	Bangladesh	Bangladesh	South Asia	1	14
#53B400	4.333	1959.5	Barbados	Barbados	Barbados	Barbados	Latin America & Caribbean	1	15
#C49A00	2.67	1959.5	Belarus	Belarus	Belarus	Belarus	Europe & Central Asia	1	16
#C49A00	2.575	1959.5	Belgium	Belgium	Belgium	Belgium	Europe & Central Asia	1	17
#53B400	6.5	1959.5	Belize	Belize	Belize	Belize	Latin America & Caribbean	1	18
#FB61D7	6.282	1959.5	Benin	Benin	Benin	Benin	Sub-Saharan Africa	1	19
#00B6EB	1.74	1959.5	Bermuda	Bermuda	Bermuda	Bermuda	North America	1	20
#A58AFF	6.67	1959.5	Bhutan	Bhutan	Bhutan	Bhutan	South Asia	1	21
#53B400	6.696	1959.5	Bolivia	Bolivia	Bolivia	Bolivia	Latin America & Caribbean	1	22
#C49A00	4.052	1959.5	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	1	23
#FB61D7	6.615	1959.5	Botswana	Botswana	Botswana	Botswana	Sub-Saharan Africa	1	24
#53B400	6.21	1959.5	Brazil	Brazil	Brazil	Brazil	Latin America & Caribbean	1	25
#F8766D	6.487	1959.5	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	1	26
#C49A00	2.308	1959.5	Bulgaria	Bulgaria	Bulgaria	Bulgaria	Europe & Central Asia	1	27
#FB61D7	6.291	1959.5	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Sub-Saharan Africa	1	28
#FB61D7	6.801	1959.5	Burundi	Burundi	Burundi	Burundi	Sub-Saharan Africa	1	29
#F8766D	6.3	1959.5	Cambodia	Cambodia	Cambodia	Cambodia	East Asia & Pacific	1	30
#FB61D7	5.774	1959.5	Cameroon	Cameroon	Cameroon	Cameroon	Sub-Saharan Africa	1	31
#00B6EB	3.811	1959.5	Canada	Canada	Canada	Canada	North America	1	32
#FB61D7	6.885	1959.5	Cape Verde	Cape Verde	Cape Verde	Cape Verde	Sub-Saharan Africa	1	33
#FB61D7	5.84	1959.5	Central African Republic	Central African Republic	Central African Republic	Central African Republic	Sub-Saharan Africa	1	34
#FB61D7	6.25	1959.5	Chad	Chad	Chad	Chad	Sub-Saharan Africa	1	35
#C49A00	2.421	1959.5	Channel Islands	Channel Islands	Channel Islands	Channel Islands	Europe & Central Asia	1	36
#53B400	5.582	1959.5	Chile	Chile	Chile	Chile	Latin America & Caribbean	1	37
#F8766D	5.469	1959.5	China	China	China	China	East Asia & Pacific	1	38
#53B400	6.807	1959.5	Colombia	Colombia	Colombia	Colombia	Latin America & Caribbean	1	39
#FB61D7	6.792	1959.5	Comoros	Comoros	Comoros	Comoros	Sub-Saharan Africa	1	40
#FB61D7	6.001	1959.5	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	1	41
#FB61D7	5.88	1959.5	Congo, Rep.	Congo, Rep.	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	1	42
#53B400	7.311	1959.5	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Latin America & Caribbean	1	43
#FB61D7	7.351	1959.5	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa	1	44
#C49A00	2.332	1959.5	Croatia	Croatia	Croatia	Croatia	Europe & Central Asia	1	45
#53B400	4.182	1959.5	Cuba	Cuba	Cuba	Cuba	Latin America & Caribbean	1	46
#53B400	2.1	1959.5	Curacao	Curacao	Curacao	Curacao	Latin America & Caribbean	1	47
